tweet_id,favorites,retweets,user_favourites,date_time
892420643555336193,35072,7376,145807,2017-08-01 16:23:56
892177421306343426,30366,5495,145807,2017-08-01 00:17:27
891815181378084864,22828,3633,145807,2017-07-31 00:18:03
891689557279858688,38351,7554,145807,2017-07-30 15:58:51
891327558926688256,36629,8140,145807,2017-07-29 16:00:24
891087950875897856,18468,2728,145807,2017-07-29 00:08:17
890971913173991426,10731,1764,145808,2017-07-28 16:27:12
890729181411237888,59057,16512,145807,2017-07-28 00:22:40
890609185150312448,25419,3780,145807,2017-07-27 16:25:51
890240255349198849,29000,6399,145807,2017-07-26 15:59:51
890006608113172480,27987,6424,145807,2017-07-26 00:31:25
889880896479866881,25438,4358,145807,2017-07-25 16:11:53
889665388333682689,43669,8757,145807,2017-07-25 01:55:32
889638837579907072,24545,3911,145807,2017-07-25 00:10:02
889531135344209921,13836,1976,145807,2017-07-24 17:02:04
889278841981685760,22905,4652,145807,2017-07-24 00:19:32
888917238123831296,26523,3925,145807,2017-07-23 00:22:39
888804989199671297,23288,3709,145807,2017-07-22 16:56:37
888554962724278272,17954,3022,145807,2017-07-22 00:23:06
888078434458587136,19855,3037,145807,2017-07-20 16:49:33
887705289381826560,27597,4723,145807,2017-07-19 16:06:48
887517139158093824,42220,10298,145807,2017-07-19 03:39:09
887473957103951883,62476,15730,145807,2017-07-19 00:47:34
887343217045368832,30647,9226,145807,2017-07-18 16:08:03
887101392804085760,27935,5221,145807,2017-07-18 00:07:08
886983233522544640,31651,6678,145807,2017-07-17 16:17:36
886736880519319552,10881,2780,145807,2017-07-16 23:58:41
886680336477933568,20484,3918,145807,2017-07-16 20:14:00
886366144734445568,19229,2770,145807,2017-07-15 23:25:31
886267009285017600,108,3,145807,2017-07-15 16:51:35
886258384151887873,25478,5531,145807,2017-07-15 16:17:19
886054160059072513,0,96,145807,2017-07-15 02:45:48
885984800019947520,29668,5877,145807,2017-07-14 22:10:11
885528943205470208,32737,5587,145807,2017-07-13 15:58:47
885518971528720385,18647,3269,145807,2017-07-13 15:19:09
885311592912609280,0,16177,145807,2017-07-13 01:35:06
885167619883638784,19938,3830,145807,2017-07-12 16:03:00
884925521741709313,69990,15805,145807,2017-07-12 00:01:00
884876753390489601,25316,4896,145807,2017-07-11 20:47:12
884562892145688576,22137,4112,145807,2017-07-11 00:00:02
884441805382717440,24720,4988,145807,2017-07-10 15:58:53
884247878851493888,65963,17786,145807,2017-07-10 03:08:17
884162670584377345,18590,2621,145807,2017-07-09 21:29:42
883838122936631299,19907,2992,145807,2017-07-09 00:00:04
883482846933004288,41711,8645,145807,2017-07-08 00:28:19
883360690899218434,20656,3222,145807,2017-07-07 16:22:55
883117836046086144,33755,5803,145807,2017-07-07 00:17:54
882992080364220416,21757,3394,145807,2017-07-06 15:58:11
882762694511734784,25718,4277,145807,2017-07-06 00:46:41
882627270321602560,25536,5306,145807,2017-07-05 15:48:34
882268110199369728,40767,10138,145807,2017-07-04 16:01:23
882045870035918850,26693,4256,145807,2017-07-04 01:18:17
881906580714921986,22183,2980,145808,2017-07-03 16:04:48
881666595344535552,46162,9349,145807,2017-07-03 00:11:11
881633300179243008,115,7,145807,2017-07-02 21:58:53
881536004380872706,45054,14033,145807,2017-07-02 15:32:16
881268444196462592,21220,4656,145807,2017-07-01 21:49:04
880935762899988482,15585,2445,145807,2017-06-30 23:47:07
880872448815771648,19407,3349,145807,2017-06-30 19:35:32
880465832366813184,25912,5448,145807,2017-06-29 16:39:47
880221127280381952,24535,3636,145807,2017-06-29 00:27:25
880095782870896641,25175,3811,145807,2017-06-28 16:09:20
879862464715927552,20392,3048,145807,2017-06-28 00:42:13
879674319642796034,289,10,145807,2017-06-27 12:14:36
879492040517615616,21422,2775,145807,2017-06-27 00:10:17
879415818425184262,96284,39157,145807,2017-06-26 19:07:24
879376492567855104,15379,2745,145807,2017-06-26 16:31:08
879130579576475649,0,5986,145807,2017-06-26 00:13:58
879050749262655488,20562,4132,145807,2017-06-25 18:56:45
879008229531029506,17353,2349,145807,2017-06-25 16:07:47
878776093423087618,17710,3606,145807,2017-06-25 00:45:22
878604707211726852,27425,6203,145807,2017-06-24 13:24:20
878404777348136964,0,1119,145807,2017-06-24 00:09:53
878316110768087041,0,5813,145807,2017-06-23 18:17:33
878281511006478336,7040,1119,145807,2017-06-23 16:00:04
878057613040115712,38438,5986,145807,2017-06-23 01:10:23
